Winery,Year,Wine_ID,Wine,Rating,Reviews,Price,Region,Primary_Grape,Natural,Country,Style,Country_Code
Baron de Ley,2020,8729994,Rosado de Lágrima 2020,4.2,42,7.15,La Rioja,Malbec,False,Argentina,Rose,ARG
New Age,N.V.,7704484,Sweet White N.V.,3.9,5672,7.43,Mendoza,Malbec,False,Argentina,White,ARG
Alamos,2018,68764,Malbec Rosé 2018,3.9,384,8.0,Valle de Uco,Malbec,False,Argentina,Rose,ARG
Alamos,2019,2166,Torrontes 2019,3.8,820,8.0,Salta,Malbec,False,Argentina,White,ARG
Alamos,2020,1387085,Cabernet Sauvignon 2020,3.6,489,8.0,Mendoza,Malbec,False,Argentina,Red,ARG
Alamos,2020,69694,Chardonnay 2020,3.7,851,8.0,Mendoza,Malbec,False,Argentina,White,ARG
Alamos,2020,1879,Malbec 2020,3.8,3153,8.0,Mendoza,Malbec,False,Argentina,Red,ARG
Amalaya,2020,1177446,Blanco (Torrontés - Riesling) 2020,3.8,501,8.5,Salta,Malbec,False,Argentina,White,ARG
Alamos,2019,2162,Bonarda 2019,3.8,1147,8.54,Mendoza,Malbec,False,Argentina,Red,ARG
Bodega Piedra Negra,2019,1233100,Alta Colección Pinot Gris 2019,3.6,149,8.9,Valle de Uco,Malbec,False,Argentina,White,ARG
Alamos,2020,2166,Torrontes 2020,3.7,220,8.9,Salta,Malbec,False,Argentina,White,ARG
Bodega Piedra Negra,2019,2464453,Alta Colección Torrontés Mendoza 2019,3.7,35,8.9,Mendoza,Malbec,False,Argentina,White,ARG
Argento,2019,1145637,Malbec 2019,3.6,1459,9.5,Mendoza,Malbec,False,Argentina,Red,ARG
Trapiche,2021,1514435,Vineyards Malbec 2021,3.8,304,9.9,Mendoza,Malbec,False,Argentina,Red,ARG
Acordeón,2020,80394,Malbec 2020,3.6,38,9.9,Valle de Uco,Malbec,False,Argentina,Red,ARG
Alamos,2019,1890,Selección Malbec 2019,3.9,144,10.01,Mendoza,Malbec,False,Argentina,Red,ARG
Séptima,2020,80080,Malbec 2020,3.6,39,10.95,Agrelo,Malbec,False,Argentina,Red,ARG
Bodega Atamisque,2020,1292434,Serbal Malbec 2020,3.8,229,11.0,Tupungato,Malbec,False,Argentina,Red,ARG
Bodega Cuarto Dominio,2017,1438673,Malbec Winemaker's Selection Tolentino 2017,3.6,196,11.5,Mendoza,Malbec,False,Argentina,Red,ARG
Alta Vista,2017,65994,Estate Malbec (Premium) 2017,3.7,3030,11.61,Mendoza,Malbec,False,Argentina,Red,ARG
Huentala,2018,6700214,Zorro Salvaje de Uco Sauvignon blanc 2018,3.5,43,11.9,Valle de Uco,Malbec,False,Argentina,White,ARG
Passionate,2018,7858821,Via Revolucionaria Treixadura Pura 2018,4.0,33,12.06,Mendoza,Malbec,False,Argentina,White,ARG
Altos Las Hormigas,2018,1157077,Malbec (Clásico) 2018,3.6,3728,12.45,Mendoza,Malbec,False,Argentina,Red,ARG
Bodega Cuarto Dominio,2018,1438673,Malbec Winemaker's Selection Tolentino 2018,4.0,1047,12.5,Mendoza,Malbec,False,Argentina,Red,ARG
Alta Vista,2018,66014,Estate Torrontes (Premium) 2018,3.9,458,12.55,Salta,Malbec,False,Argentina,White,ARG
