Id,Type,Title,Date,Author,Owner,Place
1,Nautical chart, Nautical chart,1482,"Benincasa, Grazioso (ULAN:500114874)",BUB,Bologna
2,Printed volume,The History of Plants,1497,Teofrasto (VIAF:265397758),BUB,Bologna
3,Herbarium,On Medical Material,1523,Dioscorides Pedanius (VIAF:78822798),BUB,Bologna
4,Printed volume,The Natural History,1519,"Plinius Secundus, Gaius (VIAF:100219162)",BUB,Bologna
5,Nautical chart, Incomplete coastal profile of the American continent,1500-1599,"Agnese, Battista (ULAN:500048088)",BUB,Bologna
6,Nautical chart,Map of Cusco,1556,"Ramusio, Giovanni Battista (VIAF:68943129)",BUB,Bologna
7,Printed volume,On the New World,1530,"Anghiera, Pietro Martire d' (VIAF:68967770)",BUB,Bologna
8,Printed volume,Natural and Moral History of the Indies,1596,"Acosta, José de (VIAF:2465365)",BUB,Bologna
9,Printed material,Tobacco,1579,"Monardes, Nicolás (VIAF:100203985)",BUB,Bologna
10,Specimen,"Jaguar (Linnaeus, 1758)",1758,,Sistema Museale di Ateneo di Bologna,Bologna
11,Specimen,"Atlantic horseshoe crab (Linnaeus, 1758)",1758,,Sistema Museale di Ateneo di Bologna,Bologna
12,Specimen,"Armadillo (Linnaeus, 1757)",1757,,Sistema Museale di Ateneo di Bologna,Bologna
13,Painting, Portrait of Ulisse Aldrovandi,1582-1585,"Carracci, Agostino (ULAN:500115349)",Accademia Carrara,Bergamo
14,Printed material,A highly useful compendium of plants,1586,Dioscorides Pedanius (VIAF:78822798),"Biblioteca del Dipartimento di Scienze Biologiche, Geologiche e Ambientali, Bologna",Bologna
15,Map,Map of the botanical garden in Padua,1591,,BUB,Bologna
16,Map,Map of the botanical garden in Bologna,1753,"Monti, Giuseppe (VIAF:54929912)",Orto Botanico ed Herbarium di Bologna,Bologna
17,Manuscript volume,Sunflower,1500-1599,"Aldrovandi, Ulisse (VIAF:100190422)",BUB,Bologna
18,Specimen,Stavesacre,1500-1599,"Aldrovandi, Ulisse (VIAF:100190422)",Orto Botanico ed Herbarium di Bologna,Bologna
19,Specimen,Pheasant’s eye,1500-1599,"Aldrovandi, Ulisse (VIAF:100190422)",Orto Botanico ed Herbarium di Bologna,Bologna
20,Specimen,Tomato,1500-1599,"Aldrovandi, Ulisse (VIAF:100190422)",Orto Botanico ed Herbarium di Bologna,Bologna
21,Specimen,Mountain everlasting,1500-1599,"Aldrovandi, Ulisse (VIAF:100190422)",Orto Botanico ed Herbarium di Bologna,Bologna
22,Specimen,Wild tulip,1500-1599,"Aldrovandi, Ulisse (VIAF:100190422)",Orto Botanico ed Herbarium di Bologna,Bologna
23,Specimen,Mountain avens,1500-1599,"Aldrovandi, Ulisse (VIAF:100190422)",Orto Botanico ed Herbarium di Bologna,Bologna
24,Printed material,Anatomy of a chicken,1603,"Aldrovandi, Ulisse (VIAF:100190422)",BUB,Bologna
25,Manuscript plate,Chick in an eggshell,1500-1599,"Aldrovandi, Ulisse (VIAF:100190422)",BUB,Bologna
26,Printed material,Dissected swan,1603,"Aldrovandi, Ulisse (VIAF:100190422)",BUB,Bologna
27,Manuscript plate,Human hermaphrodite,1500-1599,"Aldrovandi, Ulisse (VIAF:100190422)",BUB,Bologna
28,Specimen,Sea coconut,1500-1599,,Museo di Palazzo Poggi,Bologna
29,Model,Basilisk,1600-1699,"Calzolari, Francesco (VIAF:52741381)",Museo di Storia Naturale di Verona,Verona
30,Printed volume,Cyclops,1642,"Aldrovandi, Ulisse (VIAF:100190422)",BUB,Bologna
31,Model,Table with monocular model,1700-1799,"Riviera, Tarsizio (VIAF:263904234)",Museo di Palazzo Poggi,Bologna
32,Manuscript plate,Heads of a two-headed calf,1500-1599,"Aldrovandi, Ulisse (VIAF:100190422)",BUB,Bologna
33,Specimen,"Cattle (Linnaeus, 1758)",,,Sistema Museale di Ateneo di Bologna,Ozzano dell'Emilia
34,Specimen,"Narwhal (Linnaeus, 1758) ",1600-1699,,Museo di Palazzo Poggi,Bologna
35,Manuscript plate,Desert horned viper and vipera ammodytes,1500-1599,"Aldrovandi, Ulisse (VIAF:100190422)",BUB,Bologna
